DlangUI log file
2017-06-29 01:05:29.724 D  registerFont(Serif,ü‡ÉSÉVÉbÉN)
2017-06-29 01:05:29.724 D  registerFont(Serif,Yu Gothic UI)
2017-06-29 01:05:29.724 D  registerFont(Serif,Yu Gothic UI Semibold)
2017-06-29 01:05:29.724 D  registerFont(Serif,ü‡ÉSÉVÉbÉN Light)
2017-06-29 01:05:29.724 D  registerFont(Serif,Yu Gothic UI Light)
2017-06-29 01:05:29.724 D  registerFont(Serif,ü‡ÉSÉVÉbÉN Medium)
2017-06-29 01:05:29.724 D  registerFont(Serif,Yu Gothic UI Semilight)
2017-06-29 01:05:29.724 D  registerFont(Serif,ÉÅÉCÉäÉI)
2017-06-29 01:05:29.724 D  registerFont(Serif,Meiryo UI)
2017-06-29 01:05:29.724 D  registerFont(MonoSpace,ÇlÇr ñæí©)
2017-06-29 01:05:29.724 D  registerFont(Serif,ÇlÇr Çoñæí©)
2017-06-29 01:05:29.724 D  registerFont(Serif,ü‡ñæí©)
2017-06-29 01:05:29.724 D  registerFont(Serif,ü‡ñæí© Demibold)
2017-06-29 01:05:29.724 D  registerFont(Serif,ü‡ñæí© Light)
2017-06-29 01:05:29.724 D  registerFont(Serif,HoloLens MDL2 Assets)
2017-06-29 01:05:29.724 D  registerFont(MonoSpace,OCRB)
2017-06-29 01:05:29.724 D  registerFont(MonoSpace,HGñæí©E)
2017-06-29 01:05:29.724 D  registerFont(Serif,HGPñæí©E)
2017-06-29 01:05:29.724 D  registerFont(Serif,HGSñæí©E)
2017-06-29 01:05:29.724 D  registerFont(MonoSpace,HGënâpäpŒﬂØÃﬂëÃ)
2017-06-29 01:05:29.724 D  registerFont(Serif,HGPënâpäpŒﬂØÃﬂëÃ)
2017-06-29 01:05:29.724 D  registerFont(Serif,HGSënâpäpŒﬂØÃﬂëÃ)
2017-06-29 01:05:29.724 D  registerFont(MonoSpace,HGënâpäp∫ﬁºØ∏UB)
2017-06-29 01:05:29.724 D  registerFont(Serif,HGPënâpäp∫ﬁºØ∏UB)
2017-06-29 01:05:29.724 D  registerFont(Serif,HGSënâpäp∫ﬁºØ∏UB)
2017-06-29 01:05:29.724 D  registerFont(Serif,HGä€∫ﬁºØ∏M-PRO)
2017-06-29 01:05:29.724 D  registerFont(MonoSpace,HG∫ﬁºØ∏E)
2017-06-29 01:05:29.725 D  registerFont(Serif,HGP∫ﬁºØ∏E)
2017-06-29 01:05:29.725 D  registerFont(Serif,HGS∫ﬁºØ∏E)
2017-06-29 01:05:29.725 D  registerFont(Serif,Arial Unicode MS)
2017-06-29 01:05:29.725 D  registerFont(Serif,Century)
2017-06-29 01:05:29.725 D  registerFont(Fantasy,Tempus Sans ITC)
2017-06-29 01:05:29.725 D  registerFont(Cursive,Pristina)
2017-06-29 01:05:29.725 D  registerFont(Cursive,Papyrus)
2017-06-29 01:05:29.725 D  registerFont(Cursive,Mistral)
2017-06-29 01:05:29.725 D  registerFont(Cursive,Lucida Handwriting)
2017-06-29 01:05:29.725 D  registerFont(Cursive,Kristen ITC)
2017-06-29 01:05:29.725 D  registerFont(Fantasy,Juice ITC)
2017-06-29 01:05:29.725 D  registerFont(Cursive,French Script MT)
2017-06-29 01:05:29.725 D  registerFont(Cursive,Freestyle Script)
2017-06-29 01:05:29.725 D  registerFont(Cursive,Bradley Hand ITC)
2017-06-29 01:05:29.725 D  registerFont(Serif,Book Antiqua)
2017-06-29 01:05:29.725 D  registerFont(Serif,Garamond)
2017-06-29 01:05:29.725 D  registerFont(Cursive,Monotype Corsiva)
2017-06-29 01:05:29.725 D  registerFont(SansSerif,Century Gothic)
2017-06-29 01:05:29.725 D  registerFont(Fantasy,Algerian)
2017-06-29 01:05:29.725 D  registerFont(Serif,Baskerville Old Face)
2017-06-29 01:05:29.725 D  registerFont(Fantasy,Bauhaus 93)
2017-06-29 01:05:29.725 D  registerFont(Serif,Bell MT)
2017-06-29 01:05:29.725 D  registerFont(SansSerif,Berlin Sans FB)
2017-06-29 01:05:29.725 D  registerFont(Serif,Bernard MT Condensed)
2017-06-29 01:05:29.725 D  registerFont(Serif,Bodoni MT Poster Compressed)
2017-06-29 01:05:29.725 D  registerFont(SansSerif,Britannic Bold)
2017-06-29 01:05:29.725 D  registerFont(Fantasy,Broadway)
2017-06-29 01:05:29.725 D  registerFont(Cursive,Brush Script MT)
2017-06-29 01:05:29.725 D  registerFont(Serif,Californian FB)
2017-06-29 01:05:29.725 D  registerFont(Serif,Centaur)
2017-06-29 01:05:29.725 D  registerFont(Fantasy,Chiller)
2017-06-29 01:05:29.725 D  registerFont(Fantasy,Colonna MT)
2017-06-29 01:05:29.725 D  registerFont(Serif,Cooper Black)
2017-06-29 01:05:29.725 D  registerFont(Serif,Footlight MT Light)
2017-06-29 01:05:29.725 D  registerFont(Fantasy,Harlow Solid Italic)
2017-06-29 01:05:29.725 D  registerFont(Fantasy,Harrington)
2017-06-29 01:05:29.725 D  registerFont(Serif,High Tower Text)
2017-06-29 01:05:29.725 D  registerFont(Fantasy,Jokerman)
2017-06-29 01:05:29.725 D  registerFont(Cursive,Kunstler Script)
2017-06-29 01:05:29.725 D  registerFont(Serif,Lucida Bright)
2017-06-29 01:05:29.725 D  registerFont(Cursive,Lucida Calligraphy)
2017-06-29 01:05:29.725 D  registerFont(Serif,Lucida Fax)
2017-06-29 01:05:29.725 D  registerFont(Fantasy,Magneto)
2017-06-29 01:05:29.725 D  registerFont(Cursive,Matura MT Script Capitals)
2017-06-29 01:05:29.725 D  registerFont(Serif,Modern No. 20)
2017-06-29 01:05:29.726 D  registerFont(Fantasy,Niagara Engraved)
2017-06-29 01:05:29.726 D  registerFont(Fantasy,Niagara Solid)
2017-06-29 01:05:29.726 D  registerFont(Cursive,Old English Text MT)
2017-06-29 01:05:29.726 D  registerFont(Fantasy,Onyx)
2017-06-29 01:05:29.726 D  registerFont(Cursive,Parchment)
2017-06-29 01:05:29.726 D  registerFont(Fantasy,Playbill)
2017-06-29 01:05:29.726 D  registerFont(Serif,Poor Richard)
2017-06-29 01:05:29.726 D  registerFont(Fantasy,Ravie)
2017-06-29 01:05:29.726 D  registerFont(Cursive,Informal Roman)
2017-06-29 01:05:29.726 D  registerFont(Fantasy,Showcard Gothic)
2017-06-29 01:05:29.726 D  registerFont(Fantasy,Snap ITC)
2017-06-29 01:05:29.726 D  registerFont(Fantasy,Stencil)
2017-06-29 01:05:29.726 D  registerFont(Cursive,Viner Hand ITC)
2017-06-29 01:05:29.726 D  registerFont(Cursive,Vivaldi)
2017-06-29 01:05:29.726 D  registerFont(Cursive,Vladimir Script)
2017-06-29 01:05:29.726 D  registerFont(Serif,Wide Latin)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Tw Cen MT)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Tw Cen MT Condensed)
2017-06-29 01:05:29.726 D  registerFont(Cursive,Script MT Bold)
2017-06-29 01:05:29.726 D  registerFont(Serif,Rockwell Extra Bold)
2017-06-29 01:05:29.726 D  registerFont(Serif,Rockwell Condensed)
2017-06-29 01:05:29.726 D  registerFont(Serif,Rockwell)
2017-06-29 01:05:29.726 D  registerFont(Cursive,Rage Italic)
2017-06-29 01:05:29.726 D  registerFont(Serif,Perpetua Titling MT)
2017-06-29 01:05:29.726 D  registerFont(Serif,Perpetua)
2017-06-29 01:05:29.726 D  registerFont(Cursive,Palace Script MT)
2017-06-29 01:05:29.726 D  registerFont(Serif,OCR A Extended)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Maiandra GD)
2017-06-29 01:05:29.726 D  registerFont(MonoSpace,Lucida Sans Typewriter)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Lucida Sans)
2017-06-29 01:05:29.726 D  registerFont(Fantasy,Imprint MT Shadow)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Haettenschweiler)
2017-06-29 01:05:29.726 D  registerFont(Serif,Goudy Stout)
2017-06-29 01:05:29.726 D  registerFont(Serif,Goudy Old Style)
2017-06-29 01:05:29.726 D  registerFont(Serif,Gloucester MT Extra Condensed)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Gill Sans Ultra Bold Condensed)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Gill Sans Ultra Bold)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Gill Sans MT Condensed)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Gill Sans MT)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Gill Sans MT Ext Condensed Bold)
2017-06-29 01:05:29.726 D  registerFont(Fantasy,Gigi)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Franklin Gothic Medium Cond)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Franklin Gothic Heavy)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Franklin Gothic Demi Cond)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Franklin Gothic Demi)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Franklin Gothic Book)
2017-06-29 01:05:29.726 D  registerFont(Cursive,Forte)
2017-06-29 01:05:29.726 D  registerFont(Fantasy,Felix Titling)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Eras Medium ITC)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Eras Light ITC)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Eras Demi ITC)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Eras Bold ITC)
2017-06-29 01:05:29.726 D  registerFont(Serif,Engravers MT)
2017-06-29 01:05:29.726 D  registerFont(Serif,Elephant)
2017-06-29 01:05:29.726 D  registerFont(Cursive,Edwardian Script ITC)
2017-06-29 01:05:29.726 D  registerFont(Fantasy,Curlz MT)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Copperplate Gothic Light)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Copperplate Gothic Bold)
2017-06-29 01:05:29.726 D  registerFont(Serif,Century Schoolbook)
2017-06-29 01:05:29.726 D  registerFont(Serif,Castellar)
2017-06-29 01:05:29.726 D  registerFont(Serif,Calisto MT)
2017-06-29 01:05:29.726 D  registerFont(Serif,Bookman Old Style)
2017-06-29 01:05:29.726 D  registerFont(Serif,Bodoni MT Condensed)
2017-06-29 01:05:29.726 D  registerFont(Serif,Bodoni MT Black)
2017-06-29 01:05:29.726 D  registerFont(Serif,Bodoni MT)
2017-06-29 01:05:29.726 D  registerFont(Fantasy,Blackadder ITC)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Arial Rounded MT Bold)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Agency FB)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,MS Reference Sans Serif)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Berlin Sans FB Demi)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Tw Cen MT Condensed Extra Bold)
2017-06-29 01:05:29.726 D  registerFont(SansSerif,Arial Narrow)
2017-06-29 01:05:29.727 D  registerFont(Cursive,Buxton Sketch)
2017-06-29 01:05:29.727 D  registerFont(Cursive,Segoe Marker)
